OBJECTID,x,y
805,127.5,43.5
806,128.5,43.5
807,129.5,43.5
808,130.5,43.5
809,80.5,44.5
810,81.5,44.5
811,82.5,44.5
812,83.5,44.5
813,84.5,44.5
814,85.5,44.5
815,86.5,44.5
816,87.5,44.5
817,88.5,44.5
818,89.5,44.5
819,90.5,44.5
820,91.5,44.5
821,92.5,44.5
822,93.5,44.5
823,111.5,44.5
824,112.5,44.5
825,113.5,44.5
826,114.5,44.5
827,115.5,44.5
828,116.5,44.5
829,117.5,44.5
830,118.5,44.5
831,119.5,44.5
832,120.5,44.5
833,121.5,44.5
834,122.5,44.5
835,123.5,44.5
836,124.5,44.5
837,125.5,44.5
838,126.5,44.5
839,127.5,44.5
840,128.5,44.5
841,129.5,44.5
842,130.5,44.5
843,82.5,45.5
844,83.5,45.5
845,84.5,45.5
846,85.5,45.5
847,86.5,45.5
848,87.5,45.5
849,88.5,45.5
850,89.5,45.5
851,90.5,45.5
852,116.5,45.5
853,117.5,45.5
854,118.5,45.5
855,119.5,45.5
856,120.5,45.5
857,121.5,45.5
858,122.5,45.5
859,123.5,45.5
860,124.5,45.5
861,125.5,45.5
862,126.5,45.5
863,127.5,45.5
864,128.5,45.5
865,129.5,45.5
866,130.5,45.5
867,131.5,45.5
868,132.5,45.5
869,83.5,46.5
870,84.5,46.5
871,85.5,46.5
872,86.5,46.5
873,87.5,46.5
874,88.5,46.5
875,89.5,46.5
876,90.5,46.5
877,117.5,46.5
878,118.5,46.5
879,119.5,46.5
880,120.5,46.5
881,121.5,46.5
882,122.5,46.5
883,123.5,46.5
884,124.5,46.5
885,125.5,46.5
886,126.5,46.5
887,127.5,46.5
888,128.5,46.5
889,129.5,46.5
890,130.5,46.5
891,131.5,46.5
892,132.5,46.5
893,133.5,46.5
894,86.5,47.5
895,87.5,47.5
896,88.5,47.5
897,89.5,47.5
898,119.5,47.5
899,120.5,47.5
900,121.5,47.5
901,122.5,47.5
902,123.5,47.5
903,124.5,47.5
904,125.5,47.5
905,126.5,47.5
906,127.5,47.5
907,128.5,47.5
908,129.5,47.5
909,130.5,47.5
910,131.5,47.5
911,132.5,47.5
912,133.5,47.5
913,134.5,47.5
914,86.5,48.5
915,87.5,48.5
916,116.5,48.5
917,117.5,48.5
918,118.5,48.5
919,119.5,48.5
920,120.5,48.5
921,121.5,48.5
922,122.5,48.5
923,123.5,48.5
924,124.5,48.5
925,125.5,48.5
926,126.5,48.5
927,127.5,48.5
928,128.5,48.5
929,129.5,48.5
930,130.5,48.5
931,116.5,49.5
932,117.5,49.5
933,118.5,49.5
934,119.5,49.5
935,120.5,49.5
936,121.5,49.5
937,122.5,49.5
938,123.5,49.5
939,124.5,49.5
940,125.5,49.5
941,126.5,49.5
942,127.5,49.5
943,128.5,49.5
944,119.5,50.5
945,120.5,50.5
946,121.5,50.5
947,122.5,50.5
948,123.5,50.5
949,124.5,50.5
950,125.5,50.5
951,126.5,50.5
952,120.5,51.5
953,121.5,51.5
954,122.5,51.5
955,123.5,51.5
956,124.5,51.5
957,125.5,51.5
958,126.5,51.5
959,121.5,52.5
960,122.5,52.5
961,123.5,52.5
962,124.5,52.5
963,125.5,52.5
964,123.5,53.5
