lon,lat,sol,win
111.57,36.65,4.32,4.1
111.35,35.62,4.14,3.61
111.72,36.57,4.32,4.1
111.13,37.52,4.46,4.3
111.13,37.52,4.46,4.3
112.02,37.43,4.46,3.41
112.15,37.55,4.46,3.41
111.12,38.47,4.54,4.24
110.98,37.95,4.47,5.19
110.9,37.43,4.47,5.19
110.83,37,4.47,5.19
111.67,38.28,4.54,4.24
111.23,37.88,4.46,4.3
111.18,37.33,4.46,4.3
111.2,36.97,4.32,4.1
111.77,37.15,4.46,4.3
111.78,37.27,4.46,4.3
111.73,40.83,4.55,4.38
111.65,40.87,4.55,4.38
111.6,40.8,4.55,4.38
111.67,40.75,4.55,4.38
111.68,40.8,4.55,4.38
111.13,40.72,4.55,4.38
111.18,40.27,4.55,4.38
111.82,40.38,4.55,4.38
111.68,39.92,4.58,3.93
111.45,41.08,4.5,5.6
109.83,40.65,4.53,4.55
110.02,40.58,4.57,4.3
109.83,40.63,4.53,4.55
109.9,40.65,4.53,4.55
110.27,40.68,4.57,4.3
109.97,40.6,4.53,4.55
110.52,40.57,4.57,4.3
110.05,41.03,4.55,5.44
110.43,41.7,4.55,5.44
106.82,39.67,4.6,5.78
106.83,39.7,4.6,5.78
106.88,39.43,4.6,5.78
106.7,39.5,4.6,5.78
118.92,42.27,4.36,6.52
118.97,42.28,4.36,6.52
119.28,42.03,4.25,6.08
118.92,42.28,4.36,6.52
120.08,43.88,4.26,4.74
119.38,43.98,4.29,5.2
118.67,43.52,4.31,6.1
118.05,43.6,4.31,6.1
117.53,43.25,4.18,7.01
119.02,42.93,4.25,6.08
118.7,41.93,4.46,6.1
119.33,41.6,4.43,6.09
119.9,42.28,4.25,6.08
122.27,43.62,4.32,4.75
122.27,43.62,4.32,4.75
123.32,44.13,4.22,5.24
122.35,42.95,4.22,4.61
121.3,43.6,4.31,4.75
121.77,42.73,4.19,5.11
120.65,42.85,4.19,5.61
120.92,44.55,4.2,4.88
119.65,45.53,4.12,6.3
109.8,39.62,4.61,4.52
110,39.82,4.57,4.12
110.03,40.4,4.57,4.3
111.23,39.87,4.58,3.93
107.48,38.18,4.64,5.84
107.98,39.1,4.65,5.74
108.72,39.83,4.66,5.13
108.85,38.6,4.62,5.58
109.73,39.57,4.61,4.52
119.77,49.22,3.83,4.8
119.77,49.22,3.83,4.8
123.47,48.13,3.8,4.44
123.72,50.58,3.63,3.84
119.75,49.13,3.83,4.8
